"Urinary Bladder (Invasive & In Situ)"
"SEER Relative Survival Rates by Time Since Diagnosis, 2000-2021"
"By Age, Both Sexes, All Races / Ethnicities, Regional"

"","All Ages","All Ages","All Ages","Ages &lt; 50","Ages &lt; 50","Ages &lt; 50","Ages 50-64","Ages 50-64","Ages 50-64","Ages 65+","Ages 65+","Ages 65+","Ages &lt;15","Ages &lt;15","Ages &lt;15","Ages 15-39","Ages 15-39","Ages 15-39","Ages 40-64","Ages 40-64","Ages 40-64","Ages 65-74","Ages 65-74","Ages 65-74","Ages 75+","Ages 75+","Ages 75+","Ages &lt; 20","Ages &lt; 20","Ages &lt; 20"
"Time Since Diagnosis","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I."
"Diagnosis","100.0","^","^","100.0","^","^","100.0","^","^","100.0","^","^","100.0","^","^","100.0","^","^","100.0","^","^","100.0","^","^","100.0","^","^","100.0","^","^"
"1 year","69.9","69.2","70.5","80.2","77.9","82.3","77.6","76.6","78.6","65.5","64.8","66.3","100.0","^","^","80.5","74.8","85.0","77.8","76.9","78.7","73.3","72.3","74.3","58.5","57.4","59.6","100.0","^","^"
"2 years","52.1","51.4","52.7","61.9","59.1","64.5","57.4","56.2","58.6","48.9","48.0","49.7","100.0","^","^","60.6","53.9","66.6","57.9","56.8","59.0","55.3","54.2","56.5","42.9","41.7","44.1","100.0","^","^"
"3 years","44.1","43.4","44.8","53.1","50.3","55.9","48.4","47.1","49.6","41.5","40.6","42.4","91.8","70.3","97.9","50.9","44.1","57.2","48.9","47.7","50.0","46.7","45.4","47.9","36.8","35.6","38.0","89.0","69.2","96.4"
"4 years","39.8","39.1","40.5","47.6","44.7","50.4","43.6","42.4","44.9","37.4","36.5","38.3","91.8","70.3","97.9","46.3","39.5","52.8","44.0","42.9","45.2","41.9","40.6","43.1","33.4","32.1","34.7","89.0","69.2","96.4"
"5 years","37.3","36.6","38.0","44.5","41.6","47.3","40.8","39.6","42.1","35.1","34.2","36.1","86.4","62.7","95.5","42.9","36.1","49.5","41.2","40.1","42.4","38.9","37.7","40.2","31.8","30.4","33.2","84.1","62.2","93.9"
"6 years","35.4","34.7","36.2","42.6","39.7","45.5","39.1","37.8","40.4","33.2","32.2","34.1","86.4","62.7","95.5","39.9","33.1","46.6","39.5","38.3","40.7","36.5","35.2","37.8","30.3","28.8","31.7","84.1","62.2","93.9"
"7 years","33.8","33.0","34.5","41.5","38.6","44.4","37.5","36.3","38.8","31.3","30.3","32.4","86.4","62.7","95.5","38.1","31.3","44.8","38.0","36.8","39.2","34.8","33.4","36.2","28.3","26.7","29.9","84.1","62.2","93.9"
"8 years","32.6","31.9","33.4","40.6","37.6","43.5","36.0","34.7","37.3","30.4","29.3","31.5","86.4","62.7","95.5","38.1","31.3","44.8","36.5","35.3","37.7","33.2","31.8","34.6","28.1","26.5","29.7","84.1","62.2","93.9"
"9 years","31.7","30.9","32.6","39.9","37.0","42.9","35.0","33.7","36.4","29.5","28.3","30.6","86.4","62.7","95.5","36.6","29.7","43.5","35.6","34.4","36.9","32.0","30.6","33.5","27.5","25.6","29.4","84.1","62.2","93.9"
"10 years","30.9","30.0","31.8","39.0","36.0","42.0","34.5","33.1","35.8","28.4","27.2","29.7","86.4","62.7","95.5","36.6","29.7","43.5","35.0","33.7","36.2","31.0","29.4","32.6","26.5","24.3","28.6","84.1","62.2","93.9"


"Data Source:"
"-SEER Incidence Data, November 2024 Submission (1975-2022), SEER 21 registries [https://seer.cancer.gov/registries/terms.html] (excluding Illinois)."
"-Expected Survival Life Tables [https://seer.cancer.gov/expsurvival/] by Socio-Economic Standards."
"Methodology:"
"-The relative survival rates are calculated using monthly intervals."
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA)."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA)."
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
"-Stage at diagnosis is calculated using the Combined Summary Stage (2004+) recode, created from SEER Combined Summary Stage 2000 (2004-2017) & Derived Summary Stage 2018 (2018+). For more information, see the SEER documentation [https://seer.cancer.gov/seerstat/variables/seer/lrd-stage]."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Sun Sep 14 2025.
