"age_start","age_end","n_total","n_cases","targets","se","ci_lb","ci_ub"
30,40,1958,2,0.00102145045965271,0.00072190556858542,0.000176944052578694,0.00411092510555926
40,50,1911,14,0.00732600732600733,0.00195077262567515,0.00417383603814031,0.0125857799280595
50,60,1746,27,0.0154639175257732,0.00295293210338064,0.0104155121241067,0.0227431610220422
60,70,1560,25,0.016025641025641,0.00317934236218733,0.0106187909211688,0.0239301674993645
70,80,1112,26,0.0233812949640288,0.00453152526550001,0.0156391128507216,0.0345682354360606
