"stage_dx","ct","targets","se","ci_lb","ci_ub"
1,1201,0.261427949499347,0.00648301381754264,0.248802786242926,0.274270787984327
2,908,0.197649107531563,0.00587535487536912,0.186112320417936,0.209185894645189
3,1084,0.235959947757945,0.00626443219739596,0.223770134958642,0.248367435785808
4,1401,0.304962995211145,0.00679253743571777,0.291684806269047,0.318241184153243
