"age_start","age_end","n_total","n_cases","targets","ci_lb","ci_ub","se"
30,40,1945,245,0.125964010282776,0.111707598973481,0.141720632397593,0.00765652676805569
40,50,1917,296,0.154407929055816,0.138676012503954,0.171544379803486,0.00838494165168157
50,60,1794,409,0.227982162764771,0.208892282847661,0.248251150268816,0.0100407119037932
60,70,1474,416,0.282225237449118,0.259507340037048,0.306091977286771,0.0118840544053813
70,80,1166,353,0.302744425385935,0.276639264531201,0.330166083808981,0.0136550517509488
