"age_range","age_start","age_end","person_years_total","n_events","unit","targets","se"
"30-40",30,40,971050.094145351,468,100000,48.1952478890289,2.22782612176399
"40-50",40,50,946689.259577046,1190,100000,125.701225398042,3.64389648159024
"50-60",50,60,895459.921823377,2334,100000,260.648181243824,5.39515930744846
"60-70",60,70,788250.005366494,3365,100000,426.895017708938,7.35916519558054
"70-80",70,80,593795.450936846,3479,100000,585.891992690597,9.93322672296924
"80-90",80,90,303586.103468416,2196,100000,723.353267791607,15.4359825828837
