"stage_dx","count","pct","ci_lb","ci_ub"
1,41001,0.0962096662544613,0.0953250282169029,0.0970966508120132
2,161814,0.379699786232029,0.37824259731605,0.381156975148007
3,146318,0.343338112412387,0.341913774776318,0.344764796568449
4,77030,0.180752435101123,0.17959794726431,0.18190926945793
