"parameter_name","dist_base_name","min","max","prior_sd"
"d_time_H_P.cure_max","unif",0.02,0.1,0.0232565243151337
"d_time_H_P.shape","unif",4.75001068073281,13.8647903936669,2.64914338447846
"d_time_H_P.scale","unif",45.0006289564612,113.80217564875,20.0300769480645
"d_time_P1_P2.rate","unif",0.05,2,0.565724671317532
"hr_cancer.1","unif",0.7,3,0.668171995485924
"hr_cancer.2","unif",0.7,3,0.666800276772245
"diff_p_cancer.1","unif",-0.15,0.03,0.0522484564662719
"diff_p_cancer.2","unif",-0.05,0.05,0.0290130244037086
