"iter","draw","step","prevalence_preclin_71","prevalence_preclin_80","prevalence_preclin_92","incidence_clin_2","incidence_clin_7","incidence_clin_12","incidence_clin_17","incidence_clin_22","incidence_clin_27","incidence_clin_32","incidence_clin_37","incidence_clin_42","incidence_clin_47","incidence_clin_52","incidence_clin_57","incidence_clin_62","incidence_clin_67","incidence_clin_72","incidence_clin_77","incidence_clin_82","incidence_clin_92","stage_distr_1","stage_distr_2","stage_distr_3"
1,1,0,0.0006765518407848,0,0,0,0.0258941346188598,0.276408109747401,1.50476995846587,5.5926044075991,14.5121033681848,33.4335322236756,61.4551527413077,98.2703962866474,128.308826879163,129.640526962325,92.202581047782,42.1123792975601,11.0767061502508,1.35736451191154,0.0537298600183006,0,0,0.753173671041209,0.213685339324925,0.0331409896338661
1,2,0,0.0158632919555054,0.0175513307984791,0.0146284376828555,0,0,0.031291435866358,0.136795716427007,0.560298588903782,1.62967062993228,3.68584849487272,8.82541075469046,16.3554571291548,29.6055011249553,50.0973899085819,78.5377011596949,114.209930799097,161.522950226447,209.559321543715,250.216610195461,280.294715417419,253.952762829806,0.778064284567359,0.191861947805389,0.0300737676272515
1,3,0,0.0584763948497854,0.0710589858571921,0.087908144958737,0,0,0,0,0.00533614309154808,0.0162963719833661,0.0277114673861191,0.119320570134411,0.246122096609254,0.763703999466007,1.28894049538525,2.97177152881513,5.29267533444501,9.40594669087259,16.6579832894044,25.8209549634586,37.8620328735042,62.6400197299552,0.755237608584568,0.211676034747062,0.03308635666837
1,4,0,0.000068960761326805,0,0,0,0.0362517839693647,0.391143404855151,1.7783645570132,6.61723585697644,17.2508930087679,37.0409238514674,66.9498556284703,98.5702500243947,116.115214123437,98.1597103580491,55.5029344062308,17.5965082779208,2.62089376600743,0.15851527359296,0,0,0,0.811390348328332,0.157417839818779,0.0311918118528885
1,5,0,0,0,0,0,0,0.0052152391825537,0.063136406813699,0.944500337762857,6.36124495000373,35.3966192484044,142.63127937459,397.037099881954,557.793007787725,192.28305790374,4.63525357632682,0,0,0,0,0,0,0.731546250995563,0.236818750711116,0.0316349982933212
1,6,0,0.290650617412058,0.281329389246563,0.16441315862838,0,0,0,0,0.00533614309154808,0.00543212248988254,0.0554229331388335,0.204549769577364,0.656329376073098,2.46832909640062,7.01510276431141,17.0769143273007,38.4763022320659,78.7952219403865,139.01686174172,204.566688149246,225.300016340111,142.969696340608,0.809871414441147,0.172126607319486,0.018001978239367
1,7,0,0.00729275189760381,0.00307898788141949,0.000516102394715111,0.00507632683426422,0.0725035701275428,0.521525096869331,1.94673902315367,6.29709296567305,13.7626661132429,27.6327621045797,48.7196480162569,76.724087582328,111.735193234504,147.272307674534,172.252490919292,176.284802003644,150.806559080621,110.764798078048,62.5689349767921,25.9893177394248,7.18272997649622,0.776423702577194,0.187328571816528,0.0362477256062787
1,8,0,0.0104281009879254,0.0185833557769997,0.0189887897506291,0,0,0,0,0,0,0.00554229181441002,0.0511373706606116,0.0820405730740951,0.342136817566256,0.939159315447091,1.68207861492763,4.63182801322966,10.139574739455,18.9990928223382,36.9668366526913,64.5231836660011,126.537468159497,0.740566941199004,0.228691821490136,0.03074123731086
1,9,0,0.00924225368801469,0.0107363753063368,0.00950734658599827,0,0.0310729576880269,0.161672541663444,0.636628592429046,1.5741908978886,3.00413285895274,6.2746964872605,9.99166289683363,16.5634559823467,24.5589897846277,35.8218571658788,49.3152544103145,62.6218100801682,81.0348421041052,101.041260861477,120.545246743991,139.686602519895,159.498045391499,0.790011658920671,0.173031159663329,0.0369571814159999
1,10,0,0.0203328447012158,0.0123090304038723,0.00134980791195099,0,0,0,0,0.0106722879245732,0.108642508879356,0.448926735847817,1.76142667291243,5.71978455657763,16.8968572391781,43.6129038042105,100.131358743467,198.538242465844,346.566270034837,460.850358571557,408.947241009842,192.633664703791,23.3127572715777,0.745165122665334,0.219207073625168,0.0356278037094984
1,11,0,0.0262200844673862,0.0295600899992241,0.0163349970830362,0,0,0,0,0.00533614309154808,0.0271606134540795,0.0831343885527299,0.420463953108688,1.2775059174818,3.64147419819167,9.61309389791145,22.660130716088,47.9962640245759,93.241575385473,163.256139440477,246.779033531726,296.681258316063,211.777328661256,0.759996813764537,0.210928787637406,0.0290743985980564
1,12,0,0.02327336771921,0.0306228630890442,0.0213776722090261,0,0,0,0,0.00533614309154808,0.00543212238700846,0.0277114686039573,0.153412297326529,0.544986044247004,1.33191338214201,4.11956384650297,9.47002897121729,20.6261922119968,43.2681781387958,77.9002022919092,132.973211824704,184.862314851652,195.887064713268,0.70777158607466,0.256636107615795,0.0355923063095452
1,13,0,0.00990247001233138,0.0000702641933670601,0,0,0,0,0.00526136718098584,0.0480253136539006,0.423706508846156,1.87332262307047,7.73936387846153,24.1388231278445,63.580303585946,134.698735436137,206.481219614201,182.315681547238,65.6476228370722,6.65977940126927,0.12536641743198,0,0,0.742367733203847,0.227506121310425,0.0301261454857273
1,14,0,0.00180924605746381,0,0,0,0,0,0,0.0320168632829811,0.282470554804136,1.66824523849764,8.0859044147146,33.5301996160738,113.017253825879,304.398880543474,603.177224797564,627.981228783759,195.644453361583,6.88953548397806,0,0,0,0.733948854771266,0.229642545091431,0.0364086001373026
1,15,0,0.000816126662858076,0,0,0,0,0.0052152391825537,0.0368295702669009,0.320169124324916,1.68941294357712,6.73429420562329,21.8697160194913,58.4667164128693,131.393336104993,236.498955552638,298.398874821806,210.195255563101,57.1031058208883,3.6753743094532,0,0,0,0.787209003476402,0.176863662802494,0.0359273337211033
1,16,0,0.0314598798161895,0.0298826040554963,0.0305171859942178,0,0,0,0.00526136760069034,0.0160084345744944,0.0597534108307516,0.138557628139461,0.369327676630009,0.785257312205034,1.43580272220495,3.32290295194639,5.34830062168006,9.01392392932456,14.9584513976945,22.1792991820342,32.5540728728199,44.9883182913944,68.6466547406587,0.73972602739726,0.224893404699265,0.0353805679034746
1,17,0,0.115874769797422,0.124839602890525,0.0648902821316614,0,0,0,0,0,0,0.00554229040552383,0.0568192826194956,0.17580130522675,0.953100929990904,2.57789179709251,9.61661054188793,26.0993133139304,66.6072036047693,148.372187091617,281.077969113544,392.883853714899,269.795035230458,0.812225206576224,0.159307477802679,0.0284673156210973
1,18,0,0.000437094776717418,0,0,0,0,0.0156457175476611,0.168363915911446,1.11526306952597,4.48712939477334,15.5543627520003,43.6915280772471,103.403006371748,201.357976762081,311.2083705572,323.428269697302,185.360669046923,41.82815164808,2.59553964816415,0.0182209430619888,0,0,0.771276624877453,0.198496026464676,0.0302273486578707
1,19,0,0.144859813084112,0.0943266212388025,0.0197382535936494,0,0,0,0,0.0106722871184418,0.0488891334655775,0.216149654034585,0.732973080268817,2.00417986962971,5.78622818176276,13.4945308908072,28.4075055779448,51.9240033181101,80.1060639566987,97.6117585922244,85.3778941255342,46.3276848629167,10.4076332442042,0.743985886881215,0.228589757297124,0.0274243558216615
1,20,0,0.0102897293801173,0.00214730037854471,0,0,0,0,0,0.00533614309154808,0.0162963674629611,0.121930597772496,0.77274617157867,2.89494049767945,11.8112183458093,38.4837460606893,107.099436497582,251.390543211968,452.21240067892,484.249810683342,205.217187301308,16.8612348045466,0.0532598276813245,0.768352260276621,0.19728276982173,0.0343649699016486
1,21,0,0,0,0,0,0,0.0156457179814114,0.194670742750369,1.6808987020123,8.36596667976586,32.0109403871425,95.2327932641254,223.730764594354,367.162618425806,323.668902694296,102.20355925654,6.18661755074723,0.0479990742517932,0,0,0,0,0.784890779958955,0.181257991382738,0.0338512286583073
