"iter","draw","step","prevalence_preclin","incidence_clin","stage_distr","tot_dist","n_good"
1,1,0,2.9838286678458,-3589.41675421221,0.0198702428957054,3589.41799447315,2
1,2,0,2.28080794803292,-45.1406751435907,0.00243202362284091,45.1982592942443,2
1,3,0,0.695569728235363,-14.0090421306369,0.0169360140092564,14.0263097603528,2
1,4,0,2.99834562653263,-4467.17965347041,0.0305080920418747,4467.18065981075,2
1,5,0,3,-16958.8212803991,0.06614459710817,16958.8215458767,2
1,6,0,7.87047561095667,-9.28174544766715,0.194804341118825,12.1709955890746,2
1,7,0,2.77985085078648,-3041.583965788,0.0219967100883715,3041.58523618742,2
1,8,0,2.34401190498654,-13.778327344458,0.045974084406026,13.9763661170633,2
1,9,0,2.5514690048916,-129.011376333861,0.0367382746561013,129.036609407334,2
1,10,0,2.37352785040728,-44.4613019605014,0.0429454923375715,44.5246319557484,2
1,11,0,1.92626796857955,-9.82931829847391,0.0197042865924865,10.016306442916,2
1,12,0,1.92577823802765,-10.2738254170532,0.150148865408186,10.4538344737198,2
1,13,0,2.77533729195951,-138.710518666936,0.0446129986609591,138.738287708384,2
1,14,0,2.95704946008756,-814.171160224182,0.071672506956049,814.17653332631,2
1,15,0,2.9805088731245,-648.571489780611,0.0235027651359021,648.57833863132,2
1,16,0,1.73727485291373,-12.1158581970131,0.0519733565260927,12.2398874584076,2
1,17,0,0.700739461480697,-15.0986035918097,0.03688227210226,15.114900810706,2
1,18,0,2.98953723682429,-1872.78224852125,0.00419633439073984,1872.78463463549,2
1,19,0,1.45365545458114,-7.84711088141112,0.0619429859608523,7.98085836857816,2
1,20,0,2.73423129477418,-59.8485711703075,0.00966713695283151,59.9109971987967,2
1,21,0,3,-7152.89564235625,0.00711596412238446,7152.89627147561,2
1,22,0,2.98925335105185,-19105.4976483898,0.0121937672034657,19105.4978822435,2
1,23,0,0.372529666595899,-15.4639715898504,0.0124843279289078,15.4684631280111,2
1,24,0,2.99634016471231,-6223.64307885195,0.00502672848427395,6223.64380014003,2
1,25,0,2.09439026312614,-66.9823975591326,0.0256533108297238,67.0151379274588,2
1,26,0,4.57364129021768,-14.2140151496055,0.0562335824352148,14.9318312185945,2
1,27,0,3,-36626.5218713229,0.0311214034467156,36626.5219941979,2
1,28,0,2.35707354742378,-600.07256612567,0.0395477568294995,600.077196680877,2
1,29,0,2.80795344102406,-818.780816632152,0.0172313030086249,818.785631642531,2
1,30,0,1.88210817338241,3.22059250408413,0.0364960379652061,3.7303993371304,3
1,31,0,2.29838938803395,-12.8521798144422,0.0449721192304609,13.0561534248526,2
1,32,0,2.23011597189111,-13.4659703166086,0.000580252119368172,13.6493873178454,2
1,33,0,2.52819598903312,-43.6280693053391,0.0173744490998954,43.7012643769253,2
1,34,0,1.15619438616231,-13.7077324581495,0.0283666463100206,13.7564355582913,2
1,35,0,2.34855971030792,-12.7514155575433,0.000893710615289739,12.9658911083179,2
1,36,0,3,-3089.11780104455,0.0429151072657837,3089.11925806888,2
1,37,0,2.84278438589999,-28.791764753077,0.0310775539922651,28.9317836725565,2
1,38,0,2.19332001349849,-12.4896463493072,0.0000441530583264206,12.6807696380908,2
1,39,0,2.14836949664312,-8.4449871002631,0.13858836402184,8.71507345650965,2
1,40,0,2.50973394492325,-12.2800859498959,0.0161640007864392,12.5339354029791,2
1,41,0,2.82131657579213,-15.9387459233262,0.00618615906178865,16.1865217726895,2
1,42,0,2.99416847895338,-85184.3231876424,0.0181397414346283,85184.3232402657,2
1,43,0,2.9992696287523,-13443.0390727297,0.0182437705378964,13443.0394073248,2
1,44,0,0.273766852553507,-16.547165730927,0.077493116914418,16.5496116933145,2
1,45,0,2.9931445096137,-10383.5854165292,0.0240695701625703,10383.585847955,2
1,46,0,2.94675799869916,-885.070966164916,0.0184410115790028,885.075871816011,2
1,47,0,1.62983676979423,-5.25982615059162,0.0716556342128776,5.50702038860719,2
1,48,0,1.24564502781307,-7.82770702954888,0.058327289548235,7.92641349845379,2
1,49,0,2.76945108114791,-53.761951883886,0.0236078487966385,53.833241468322,2
1,50,0,2.99239064273478,-92.761613090804,0.0241926760577598,92.8098693580178,2
1,51,0,2.59137587899538,-5.8625469501041,0.00503990872098807,6.40973564892453,2
1,52,0,2.2255242991868,-6.88288969007553,0.0457057756804336,7.23389368942823,2
1,53,0,2.44326426654781,-3.68609609269062,0.0340204921534642,4.42244299845965,2
1,54,0,0.59346485113838,-13.4524226661637,0.0126218201678595,13.4655128171561,2
1,55,0,2.58339450332816,-2147.75461960417,0.0118209671042721,2147.75617333485,2
1,56,0,1.8444736620373,-11.3014883543518,0.0495661907801763,11.4511212953478,2
1,57,0,2.09404394845649,-16.0532288736892,0.00837706969658885,16.1892324556914,2
1,58,0,2.57698052156833,-8.72391504237548,0.0474756769528045,9.09669039898742,2
1,59,0,2.38119863170549,-6.77609080876232,0.0199731206570557,7.18233336025125,2
1,60,0,0.950377342810858,-13.0934212769369,0.020165642047411,13.1278827113207,2
1,61,0,1.9300842111883,-9.93970401010898,0.0417447508601573,10.125447323209,2
1,62,0,2.26722693053374,-10.3447241083191,0.0357359105701037,10.5903216139587,2
1,63,0,2.98068595439036,-1185.31125519084,0.0433918631034699,1185.3150037242,2
1,64,0,0.999965476714299,-12.9849750915466,0.0728147741504199,13.023625112619,2
