"iter","draw","step","seed","d_time_H_P.cure_max","d_time_H_P.shape","d_time_H_P.scale","d_time_P1_P2.rate","hr_cancer.1","hr_cancer.2","diff_p_cancer.1","diff_p_cancer.2","sample_wt"
1,1,0,"10407_-94575036_-24861725_357812871_346211554_-1301022835_440649733",0.0306446727533107,6.02896128887107,51.551487156919,1.41154104485713,1.16914498323596,2.41377508700248,-0.0421969276314394,0.0210265069847259,0
1,2,0,"10407_-358246211_-1411857254_-488221791_1069515918_-1720689715_1070199760",0.0975800250688673,6.38647683766304,85.4928919724825,1.13565353336184,0.763504008031761,1.00738957467682,-0.0135233450798215,0.0021784822987682,0
1,3,0,"10407_1805183335_-1982978684_1500882842_-1897959390_-204266259_-2006625641",0.040574540312985,8.56779680561057,106.281604340064,0.384969219214509,1.14448686658161,1.87673041786793,-0.122393832194483,0.000349257524100965,0
1,4,0,"10407_-860779432_1203324979_-1993452634_-1372834584_704149361_1348506385",0.0256616618394911,5.94113574292143,49.015116977309,1.11996216781982,0.849763346946746,1.96987956081603,0.0254363870180139,-0.0312586237884345,0
1,5,0,"10407_-761370507_-1990761548_493376561_-915490779_1038863101_-1011206285",0.0659616387176842,11.397481142335,47.0244384398183,1.81166836416643,1.75173787895392,0.8512195750317,-0.0560162254952884,0.0460191680303512,0
1,6,0,"10407_384136015_-749986815_1068250040_-1335974862_-425052553_975007946",0.0484298860194199,10.9302402046946,78.4773776939345,0.0594227083444824,1.38137220228159,2.30116451576404,-0.0692384244437777,-0.016739450549778,0
1,7,0,"10407_64654729_2048811350_-2107787581_1045410411_145979706_-1876523608",0.0561811988010745,5.22344997731607,62.8370346825151,1.06734686304117,1.00580339257713,2.89375567909329,-0.106602135288295,-0.0251336393110214,0
1,8,0,"10407_854805068_-1694370398_-1006094862_1151352472_1597594730_9921969",0.0755703389194399,10.8504771453366,105.106692180528,1.85176209865057,2.41822059055409,2.3724052209399,-0.0520667503718017,0.0348344860131208,0
1,9,0,"10407_-807591415_421201103_-1082405501_500570247_-1289384108_791043152",0.0946059238081873,4.76507084469624,101.554994096052,1.53150248722014,1.96216759170629,0.712910466294358,-0.128152439969058,-0.0465549081563183,0
1,10,0,"10407_1909189435_-196743040_-1396758789_1956112983_513292545_-1382732744",0.0877019386214677,10.6353665834584,74.0972941321952,0.952796594848144,2.8650884689841,2.54719981328091,-0.127145231018241,0.00364278947968273,0
1,11,0,"10407_106120321_61135563_1877686239_449398708_-177714229_1311081464",0.0629403634254345,10.551663082851,83.1760307822883,0.856581824334197,2.13298285960143,1.37326790405751,0.00147818477788531,0.0305727117515342,0
1,12,0,"10407_-1411680221_1648894523_-439720346_259426839_-797659975_1096969968",0.0459369544926767,10.774818786367,87.1358760000004,1.15267403356657,2.15344480453502,2.83209173203186,-0.147821858335972,0.0358267293464648,0
1,13,0,"10407_336317510_2061841095_-1585944834_-497148770_1785968003_649595185",0.0342142269826865,10.241143010075,58.7706453933052,0.239222665315509,2.71181789335867,1.54933943612154,-0.0333216495624867,0.0388443835564847,0
