"iter","draw","step","prev_30_40","prev_40_50","prev_50_60","prev_60_70","prev_70_80","prev_80_100","inc_cancer_30_40","inc_cancer_40_50","inc_cancer_50_60","inc_cancer_60_70","inc_cancer_70_80","inc_cancer_80_100","stage_1","stage_2"
1,9,0,0.0336437515417808,0.0534607313859018,0.0766797450847036,0.10239805036781,0.13036741406314,0.16197547426462,238.618662499862,389.281323249341,567.996681795798,768.768040183224,963.061604183888,1201.37432342035,0.428657503295048,0.571342496704952
1,10,0,0.0866113693069003,0.115324178733993,0.142400084938276,0.170961583742872,0.192616973572376,0.217131324065889,523.085895718609,717.642005499412,883.623238370082,1025.36929262008,1180.29183218356,1314.50643341302,0.31644937440858,0.68355062559142
1,11,0,0.179493147697891,0.280860623366732,0.388194976076873,0.49565219902238,0.593073402783472,0.685433997609788,875.38137933881,1370.89971589674,1870.67514515417,2295.30671168915,2594.17199837588,2615.94969192013,0.417825707715486,0.582174292284514
1,12,0,0.0487346236969285,0.0755803218171357,0.107076230462712,0.1403588370272,0.17540846380686,0.216206926680745,205.296412674081,331.879804622499,477.100804140791,635.409774346831,796.327867686115,945.745313896791,0.528188865398168,0.471811134601832
1,13,0,0.116220685779384,0.187258654435342,0.268129369274394,0.352064726573977,0.436707919571442,0.525318181879586,423.041237084415,717.919081170141,1019.82949014419,1336.24743628119,1623.61198226151,1926.50220132986,0.358555932527357,0.641444067472643
1,14,0,0.16153068449177,0.229850914034568,0.296856442995192,0.362189500548308,0.422336578355846,0.487144423563144,1033.53199343271,1454.93439031844,1886.08814803033,2244.71181457825,2510.39856094061,2672.06512937829,0.291687507815431,0.708312492184569
1,15,0,0.0607794100218144,0.0760105474060125,0.089219156954308,0.102338230655302,0.113960265116014,0.123840074978785,477.771584561575,609.707652632267,714.528616270174,811.381180196803,893.70141163798,993.21298836585,0.368981354746479,0.631018645253521
1,16,0,0.101065180990201,0.169954969281566,0.251241683038263,0.338360756870394,0.426612393105959,0.519656168633137,508.276012185281,907.758427438513,1339.88138809277,1778.76545712232,2211.74844240329,2535.43999930069,0.389604559472225,0.610395440527775
1,17,0,0.158259323187433,0.246979624000559,0.342293405240248,0.440342357677839,0.532865562264877,0.627049392543327,719.796638043227,1139.86468454586,1575.1608588673,1973.88570731196,2311.83511896752,2499.03941911995,0.345797368048677,0.654202631951323
1,18,0,0.0645762195731788,0.0870419506828897,0.10717223739964,0.128093010097105,0.148197160644509,0.167002839873742,368.597817783041,507.129661939572,649.062089492728,761.301605913767,859.039283330379,992.864740976685,0.305344299528545,0.694655700471455
1,19,0,0.048975008562139,0.0718161441716862,0.0961251337469891,0.122451816605023,0.149092681572264,0.175652820476439,337.073279062553,509.161820573401,697.093075311457,880.850819251745,1060.91874324531,1252.83113939017,0.362105670601897,0.637894329398103
1,20,0,0.0883887994592237,0.132403600125631,0.178539020903022,0.227778727919942,0.273271334231658,0.323810492450999,446.334543436798,712.142147465024,974.186922883627,1215.41289890933,1474.53687520133,1754.12959261097,0.215563618165895,0.784436381834105
1,21,0,0.13696836375012,0.225378745965831,0.324805467168899,0.428489897318145,0.527420836274557,0.6252465543449,771.262035005528,1312.96626643918,1881.83571534534,2430.07755814107,2838.90545415887,3003.85276402534,0.306547476775499,0.693452523224501
1,22,0,0.108931808390051,0.150132445881663,0.192540394784991,0.232909589899827,0.269914545490838,0.307984715989761,583.060822379344,838.128730648957,1073.66587093309,1283.94051752492,1456.45643807155,1670.8877371216,0.421705108957736,0.578294891042264
1,23,0,0.0455593338146555,0.0704011958283568,0.0982331730374896,0.12999540423558,0.16177005393101,0.195252827979898,346.112840522803,550.396980041851,786.033061898857,1027.77783663105,1279.03965900401,1531.15019792445,0.351887916751446,0.648112083248554
1,24,0,0.0749897683694343,0.09926877123526,0.120132221841682,0.141857991223145,0.162049925089706,0.179860083286186,407.633593082801,554.349237397271,690.626130112161,784.320495920649,891.218255254777,985.631734029827,0.286542658891748,0.713457341108252
1,25,0,0.079111472372988,0.0946947197713668,0.109542048471635,0.123420420887545,0.132276051493091,0.140725324217522,615.291102718023,759.221705465874,860.916566472271,958.511423255706,1009.67777250188,1098.46053203285,0.408100810081008,0.591899189918992
1,26,0,0.0484998135401957,0.0862844938987378,0.135082003389055,0.191835562746901,0.254369448610427,0.327535718323246,181.554731847808,342.218731948942,549.556880178583,796.188234019612,1048.16895801468,1321.0648327448,0.469327025789715,0.530672974210285
1,27,0,0.0727576906498764,0.121528304276271,0.177954902322933,0.241833613608183,0.306670517319223,0.379425967163909,311.483525191799,538.864398711766,809.247268774932,1087.88760511699,1343.81984135078,1654.23351941987,0.442977327819763,0.557022672180237
1,28,0,0.15263969270809,0.2234627112939,0.296464868950193,0.368190052530742,0.435812545143758,0.509071707992215,912.316669214018,1342.15359281106,1759.09258853685,2155.17176176403,2422.17851071598,2575.98574178089,0.338145203336809,0.661854796663191
1,29,0,0.0919483433731251,0.125357798640156,0.157460933106898,0.191249026444541,0.218333025291615,0.249298888077207,518.217865486024,720.556282386983,906.941381048702,1060.1171716508,1232.34897574385,1365.91109861246,0.32657978599373,0.67342021400627
1,30,0,0.0831410400373586,0.113370078480291,0.141293249895977,0.171464440510376,0.196282423861552,0.222213508856103,452.992341181357,647.727679186651,815.931777198021,950.936385130813,1106.20752337868,1261.79287736818,0.269697400198892,0.730302599801108
1,31,0,0.0962385798168435,0.126250485631221,0.157781985435918,0.18414104415932,0.208857974956361,0.232536052519477,736.014301289063,994.977849380901,1186.22751704665,1396.90309003566,1557.08511663233,1725.04560825304,0.365707928135817,0.634292071864183
1,32,0,0.0396816679434119,0.0710689288512221,0.112064645822156,0.160888726832556,0.215096677766398,0.277313803889063,257.907129428916,467.436532298542,775.644117296722,1096.14352088779,1440.84559038162,1833.20596311411,0.359773453383677,0.640226546616323
1,33,0,0.134623108978687,0.169378929691667,0.19894124499404,0.224929118985162,0.246814943025493,0.266992178217272,956.57272056448,1189.65749852795,1404.27588876068,1569.32198812545,1700.38003944004,1801.60682413925,0.296975118202231,0.703024881797769
1,34,0,0.0685142033679199,0.0899310023230448,0.110015020463425,0.1309429438454,0.147190654880919,0.163833545023582,522.098341671678,709.02048258938,858.178762600045,997.110189450098,1142.6500443937,1265.45082754353,0.277025218182792,0.722974781817208
