"iter","draw","step","Prevalence.of.precancerous.lesion","Cancer.incidence","Stage.at.diagnosis","tot_dist","n_good"
1,1,0,-1.40101646525656,0.296225571113844,-0.316833550409718,1.4666220452342,1
1,2,0,-0.407745832969046,-1.47053654701555,-0.0133886815622896,1.52607786734688,0
1,3,0,-0.820833982398853,-0.912431981431826,-0.191331237556252,1.2421385550192,0
1,4,0,-0.178277411261171,0.058721047030619,-0.0600263420528804,0.197063843641106,1
1,5,0,-0.301451970886496,-0.368200330231599,-0.031947953963378,0.476933376580479,0
1,6,0,-0.958642517900623,-0.497346901830524,-0.00564700027247692,1.07999134556687,0
1,7,0,-0.396935564101854,-0.857469529765089,-0.0137818596104704,0.944987712183996,0
1,8,0,-0.227147747937551,-0.712522856862133,-0.0786281689719033,0.751975604590967,0
1,9,0,-2.58545192309004,-1.43546092590407,-0.073533873508082,2.95812727024387,0
1,10,0,-0.896963778383537,0.35025448240056,-0.00919429578009138,0.962967682349022,1
1,11,0,-2.86492637816997,-1.82726866787008,-0.0555724253419139,3.39849999725941,0
1,12,0,-1.66848125228229,-1.97615987824986,-0.356123589914682,2.61072050685547,0
1,13,0,-0.383716179945452,0.128346349613595,0.00175168972808762,0.404615818558752,2
1,14,0,-0.477021528180247,-2.20447382467924,-0.0312895631674291,2.25571128888573,0
1,15,0,-2.27951000090858,-0.889971651214076,-0.00576948234879917,2.44708983716036,0
1,16,0,-0.351302693789314,-0.341539439878675,-0.020569376621646,0.490393587754643,0
1,17,0,-1.59433241253283,-0.702050052796301,0.0000000136983723467335,1.74205916038579,1
1,18,0,-1.71929146074528,-1.17846423715923,-0.0174805693767938,2.08447754978572,0
1,19,0,-1.9962542089838,-0.899583435692097,0.00285852647234894,2.18958658103093,1
1,20,0,-0.315984103354399,0.15455603872158,-0.181396803638599,0.395775596832713,1
1,21,0,-1.33999434263525,-2.14058909565798,-0.0164553066444887,2.52546575741211,0
1,22,0,-0.18324907579215,0.0442680308430297,-0.0617166915548288,0.198365401090691,1
1,23,0,-1.90534285085217,-0.570820816245222,0.000401625790606187,1.98901180108505,1
1,24,0,-1.39039312968709,-1.03095093138288,-0.0375268676598066,1.73131774778538,0
1,25,0,-1.72204725189337,-0.511523564251851,-0.0415856920775885,1.79689522908933,0
1,26,0,-1.00764596194698,-1.53782368080076,-0.163386139219822,1.84579172398969,0
1,27,0,-0.383474768896634,-0.561278515572045,-0.101133340986101,0.687251353641517,0
1,28,0,-0.507953496039211,-1.49417049947573,0.000620753384132647,1.5781516470152,1
1,29,0,-0.614126000353333,0.296565307477828,-0.00393731414856371,0.681995035430687,1
1,30,0,-0.905566013802078,-0.53498091340708,-0.0619129755399198,1.05360694739711,0
1,31,0,-0.660550142594987,0.0910084765634121,-0.0042574305883638,0.666803688804933,1
1,32,0,-1.48745961029862,-0.703129898837852,0.00210093696120974,1.6452757096747,1
1,33,0,-0.212262723921494,-0.572025294647908,-0.0254694758937639,0.61066938345221,0
1,34,0,-1.66213990009029,-0.406193881837453,-0.0505585252807784,1.71179983689475,0
1,35,0,-2.34401968010297,-1.28689970914698,-0.0199417113309794,2.67412355622612,0
1,36,0,-2.05239844311957,-0.999685452083696,0.00188165008633067,2.28291785069775,1
1,37,0,-0.702268288566042,0.266747423610705,-0.0194043195401699,0.751472863612016,1
