"stage_dx","count","pct","ci_lb","ci_ub"
1,121967,0.495557063395647,0.493582424904823,0.49753170188647
2,53332,0.216690164593838,0.215064947728963,0.218319444500876
3,40068,0.16279797335457,0.161339341218344,0.164256605490795
4,30754,0.124954798655946,0.123650562121883,0.12626309823217
