var_name,idx,var_distr,param_name,var_id,distr,min,max,param_val
d_time_H_P,NA,llogis,shape,d_time_H_P.shape,unif,3.033551194,9.665266128,5.677631784
d_time_H_P,NA,llogis,scale,d_time_H_P.scale,unif,75.64181645,237.5107765,151.4928952
d_time_P1_P2,NA,exponential,rate,d_time_P1_P2.rate,unif,0.03,2,0.1
hr_cancer,1,NA,NA,hr_cancer.1,unif,0.7,3,1.5
hr_cancer,2,NA,NA,hr_cancer.2,unif,0.7,3,1.5
diff_p_cancer,1,NA,NA,diff_p_cancer.1,unif,-0.1,0.03,-0.05
diff_p_cancer,2,NA,NA,diff_p_cancer.2,unif,-0.05,0.05,-0.01
