"Urinary Bladder (Invasive & In Situ)"
"SEER Relative Survival Rates by Time Since Diagnosis, 2000-2021"
"By Stage at Diagnosis, Both Sexes, All Races / Ethnicities, All Ages"

"","In Situ","In Situ","In Situ","Localized","Localized","Localized","Regional","Regional","Regional","Distant","Distant","Distant"
"Time Since Diagnosis","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I.","Relative Survival (%)","Lower 95% C.I.","Upper 95% C.I."
"Diagnosis","100.0","^","^","100.0","^","^","100.0","^","^","100.0","^","^"
"1 year","99.8","99.8","99.9","87.9","87.7","88.1","69.9","69.2","70.5","29.8","29.1","30.5"
"2 years","99.5","99.3","99.6","81.1","80.8","81.4","52.1","51.4","52.7","15.1","14.5","15.7"
"3 years","98.6","98.5","98.8","76.8","76.5","77.1","44.1","43.4","44.8","10.7","10.2","11.2"
"4 years","97.8","97.6","98.0","73.8","73.4","74.1","39.8","39.1","40.5","8.6","8.1","9.1"
"5 years","96.9","96.6","97.1","71.3","70.9","71.6","37.3","36.6","38.0","7.5","7.1","8.0"
"6 years","95.8","95.5","96.1","69.3","68.9","69.6","35.4","34.7","36.2","6.8","6.3","7.3"
"7 years","94.8","94.5","95.1","67.4","67.0","67.9","33.8","33.0","34.5","6.4","5.9","6.9"
"8 years","93.8","93.5","94.2","65.7","65.3","66.2","32.6","31.9","33.4","6.2","5.7","6.7"
"9 years","92.7","92.3","93.0","64.3","63.8","64.8","31.7","30.9","32.6","5.7","5.2","6.2"
"10 years","91.6","91.1","92.0","62.9","62.4","63.4","30.9","30.0","31.8","5.6","5.0","6.1"


"Data Source:"
"-SEER Incidence Data, November 2024 Submission (1975-2022), SEER 21 registries [https://seer.cancer.gov/registries/terms.html] (excluding Illinois)."
"-Expected Survival Life Tables [https://seer.cancer.gov/expsurvival/] by Socio-Economic Standards."
"Methodology:"
"-The relative survival rates are calculated using monthly intervals."
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA)."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA)."
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
"-Stage at diagnosis is calculated using the Combined Summary Stage (2004+) recode, created from SEER Combined Summary Stage 2000 (2004-2017) & Derived Summary Stage 2018 (2018+). For more information, see the SEER documentation [https://seer.cancer.gov/seerstat/variables/seer/lrd-stage]."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Tue Jun 24 2025.
