"var_name","idx","var_distr","param_name","var_id","distr","min","max","param_val"
"d_time_H_P",NA,"weibull","cure_max","d_time_H_P.cure_max","unif",0.04,0.1,0.045
"d_time_H_P",NA,"weibull","shape","d_time_H_P.shape","unif",3.27843123035322,11.875026701832,7.91668446788802
"d_time_H_P",NA,"weibull","scale","d_time_H_P.scale","unif",40.5029257544478,133.117573161017,81.0058515088955
"d_time_P1_P2",NA,"exponential","rate","d_time_P1_P2.rate","unif",0.05,2,0.2
"hr_cancer",1,NA,NA,"hr_cancer.1","unif",0.7,3,1.6
"hr_cancer",2,NA,NA,"hr_cancer.2","unif",0.7,3,1
"diff_p_cancer",1,NA,NA,"diff_p_cancer.1","unif",-0.15,0.03,-0.06
"diff_p_cancer",2,NA,NA,"diff_p_cancer.2","unif",-0.05,0.05,-0.01
