"method","outcome","mean","ci_lb","ci_ub"
"truth","dwell_time",32.5770425901361,32.4861015604475,32.6953474684399
"truth","sojourn_time",4.09369657336419,4.07178095700996,4.11363889294105
"imabc","dwell_time",32.466168125591,31.4953335290354,33.8352123015664
"imabc","sojourn_time",4.07866443458089,3.67742863372905,4.68304230352573
"baycann","dwell_time",32.9442322235277,31.5124281766994,34.4010497268471
"baycann","sojourn_time",4.0016367569404,3.27386339381184,4.70150244620437
